soc,title,linguistic,logical,spatial,kinesthetic,musical,interpersonal,intrapersonal,naturalistic,linguistic_z,logical_z,spatial_z,kinesthetic_z,musical_z,interpersonal_z,intrapersonal_z,naturalistic_z,linguistic_pct,logical_pct,spatial_pct,kinesthetic_pct,musical_pct,interpersonal_pct,intrapersonal_pct,naturalistic_pct
15-2031.00,Operations Research Analysts,20.88,24.29,11.13,1.44,1.31,12.17,15.53,13.26,0.58,3.526,-0.221,-1.153,-1.609,-0.653,0.412,0.64,72.6,99.8,45.7,9.2,0.4,32.7,67.0,77.9
51-9083.00,Ophthalmic Laboratory Technicians,14.29,13.15,14.88,14.14,7.5,10.57,11.94,13.52,-1.096,-0.514,1.298,1.27,0.184,-1.118,-0.863,0.775,16.1,34.7,89.6,86.0,62.8,14.0,22.5,82.1
29-2057.00,Ophthalmic Medical Technicians,21.37,13.27,11.86,7.57,3.05,16.23,14.59,12.05,0.704,-0.471,0.075,0.016,-1.105,0.527,0.078,0.015,76.6,37.2,55.0,56.5,10.9,67.3,55.8,56.0
29-2099.05,Ophthalmic Medical Technologists,20.21,13.4,11.54,6.62,4.6,16.98,13.95,12.7,0.409,-0.424,-0.055,-0.165,-0.656,0.745,-0.149,0.351,67.0,39.3,51.2,50.8,30.5,74.4,47.8,70.5
29-1241.00,"Ophthalmologists, Except Pediatric",19.13,15.0,11.05,7.34,3.35,15.15,15.5,13.49,0.135,0.157,-0.253,-0.028,-1.018,0.213,0.401,0.759,55.4,64.0,44.9,55.3,14.4,58.5,66.7,81.5
29-2081.00,"Opticians, Dispensing",19.89,13.72,11.62,7.08,3.87,17.9,14.09,11.84,0.328,-0.307,-0.022,-0.077,-0.867,1.013,-0.1,-0.094,63.8,43.7,52.1,53.7,22.1,80.8,49.2,51.3
29-1041.00,Optometrists,18.24,15.52,11.14,6.16,3.49,15.83,13.77,15.86,-0.092,0.345,-0.217,-0.253,-0.977,0.411,-0.213,1.984,47.0,69.9,46.2,48.8,16.8,63.9,45.6,95.1
29-1022.00,Oral and Maxillofacial Surgeons,16.61,14.09,11.45,10.33,5.0,13.88,15.28,13.35,-0.506,-0.173,-0.091,0.543,-0.54,-0.156,0.323,0.687,33.1,50.6,49.8,67.2,36.0,47.9,63.8,79.2
43-4151.00,Order Clerks,21.77,15.53,10.01,2.09,5.2,19.27,12.66,13.47,0.806,0.349,-0.674,-1.029,-0.482,1.411,-0.608,0.749,79.5,70.0,31.5,20.4,38.8,90.4,31.9,80.8
31-1132.00,Orderlies,17.03,10.24,10.45,15.73,9.28,17.09,10.23,9.94,-0.399,-1.57,-0.496,1.574,0.7,0.777,-1.471,-1.076,35.7,1.8,37.4,92.2,76.5,75.3,3.2,11.9
29-1023.00,Orthodontists,17.6,15.15,11.08,8.52,4.15,15.04,16.05,12.4,-0.254,0.211,-0.241,0.198,-0.786,0.181,0.597,0.196,39.9,66.2,45.3,60.6,25.4,57.7,73.7,64.2
29-1299.02,Orthoptists,20.3,14.92,10.85,5.05,4.03,15.94,15.98,12.95,0.432,0.128,-0.334,-0.465,-0.821,0.443,0.572,0.48,67.7,63.1,42.3,42.6,23.9,64.8,72.9,74.2
29-2091.00,Orthotists and Prosthetists,18.48,15.06,12.7,5.99,3.21,16.7,16.0,11.86,-0.031,0.178,0.415,-0.285,-1.058,0.664,0.579,-0.084,49.1,65.0,64.7,48.0,13.1,71.7,73.4,51.8
49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics,13.45,12.91,14.11,14.19,12.63,10.83,11.03,10.84,-1.31,-0.601,0.986,1.28,1.67,-1.043,-1.187,-0.611,8.9,30.0,82.6,86.4,93.2,16.9,12.1,27.7
51-9111.00,Packaging and Filling Machine Operators and Tenders,14.31,11.43,12.83,13.84,11.77,12.3,10.5,13.02,-1.091,-1.138,0.468,1.213,1.421,-0.615,-1.375,0.516,16.4,9.2,66.8,84.3,89.3,33.7,5.6,75.3
53-7064.00,"Packers and Packagers, Hand",15.99,12.41,12.68,15.19,7.19,12.23,10.45,13.85,-0.664,-0.783,0.407,1.471,0.094,-0.636,-1.393,0.945,29.1,23.2,64.5,90.3,59.7,32.8,4.8,84.9
47-2141.00,"Painters, Construction and Maintenance",15.37,12.31,13.94,15.9,6.35,13.05,11.99,11.09,-0.821,-0.819,0.917,1.606,-0.149,-0.397,-0.846,-0.482,24.5,21.7,80.5,93.0,51.3,41.3,23.8,33.3
51-9123.00,"Painting, Coating, and Decorating Workers",15.51,11.0,15.23,12.0,7.83,12.16,12.18,14.1,-0.786,-1.294,1.44,0.862,0.28,-0.656,-0.778,1.074,25.4,5.6,91.7,74.0,65.3,32.4,26.8,87.4
51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders",13.61,12.33,12.25,13.14,13.44,11.17,11.86,12.19,-1.269,-0.812,0.233,1.079,1.904,-0.944,-0.892,0.087,10.9,22.0,59.6,80.0,95.6,20.9,21.3,59.2
47-2142.00,Paperhangers,13.6,12.96,14.92,16.48,5.61,14.45,10.23,11.74,-1.272,-0.583,1.314,1.717,-0.363,0.01,-1.471,-0.146,10.7,31.3,89.9,95.0,43.5,53.9,3.2,48.4
23-2011.00,Paralegals and Legal Assistants,27.47,14.19,11.14,1.81,3.75,15.59,14.27,11.79,2.256,-0.137,-0.217,-1.083,-0.902,0.341,-0.036,-0.12,98.5,51.8,46.2,17.3,21.1,62.4,51.7,50.2
19-1031.03,Park Naturalists,21.42,11.99,10.38,5.09,6.59,17.23,14.04,13.27,0.717,-0.935,-0.524,-0.457,-0.08,0.818,-0.117,0.645,77.2,16.6,36.1,42.8,53.7,76.3,48.5,78.1
53-6021.00,Parking Attendants,16.04,12.08,15.42,12.22,8.18,13.37,10.46,12.22,-0.651,-0.902,1.517,0.904,0.381,-0.304,-1.389,0.103,29.3,18.1,92.4,75.6,67.6,43.8,4.9,59.8
33-3041.00,Parking Enforcement Workers,18.81,12.42,11.49,9.65,8.58,14.11,13.88,11.05,0.053,-0.779,-0.075,0.413,0.497,-0.089,-0.174,-0.502,51.9,23.6,50.6,65.7,71.8,50.7,46.9,32.2
41-2022.00,Parts Salespersons,19.13,13.37,11.28,7.35,6.71,17.71,12.31,12.13,0.135,-0.434,-0.16,-0.026,-0.045,0.958,-0.732,0.056,55.4,39.0,47.8,55.4,54.8,79.1,28.0,57.6
53-6061.00,Passenger Attendants,20.71,11.44,9.57,8.06,9.65,16.52,13.72,10.33,0.537,-1.134,-0.852,0.11,0.807,0.612,-0.231,-0.874,71.3,9.4,23.9,58.4,79.0,69.6,44.9,18.6
29-2099.08,Patient Representatives,21.21,13.65,9.13,3.02,5.02,20.93,16.89,10.16,0.664,-0.333,-1.031,-0.852,-0.534,1.894,0.895,-0.962,75.2,43.5,17.0,29.2,36.1,98.0,80.5,16.1
51-4062.00,"Patternmakers, Metal and Plastic",14.55,13.93,15.37,11.59,10.12,10.03,11.19,13.21,-1.03,-0.231,1.496,0.784,0.943,-1.275,-1.13,0.614,18.5,47.4,92.2,72.1,81.8,9.4,14.7,77.1
51-7032.00,"Patternmakers, Wood",13.09,14.41,16.19,14.82,9.33,10.01,10.62,11.53,-1.401,-0.057,1.829,1.4,0.714,-1.281,-1.332,-0.254,7.6,55.3,96.0,88.4,77.0,9.3,6.8,43.4
47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",11.89,12.78,13.71,16.66,12.51,9.93,12.31,10.21,-1.706,-0.648,0.824,1.751,1.635,-1.304,-0.732,-0.936,2.3,28.1,77.5,96.0,92.7,8.4,28.0,16.9
43-3051.00,Payroll and Timekeeping Clerks,25.0,18.95,9.4,1.95,3.68,16.43,13.73,10.86,1.628,1.589,-0.921,-1.056,-0.922,0.585,-0.227,-0.601,94.1,91.6,21.4,19.0,20.1,68.6,45.1,28.3
29-1221.00,"Pediatricians, General",19.8,15.34,8.83,2.7,4.59,18.05,17.29,13.4,0.305,0.28,-1.152,-0.913,-0.659,1.056,1.037,0.712,63.1,67.4,11.4,26.1,30.4,82.0,83.3,79.9
31-1122.00,Personal Care Aides,17.81,11.43,9.15,7.85,7.82,18.47,17.33,10.14,-0.201,-1.138,-1.022,0.07,0.277,1.179,1.052,-0.973,42.2,9.2,17.3,57.5,65.2,85.2,83.7,15.1
13-2052.00,Personal Financial Advisors,23.48,19.37,9.26,1.0,1.86,18.1,16.36,10.57,1.241,1.742,-0.978,-1.237,-1.449,1.071,0.707,-0.75,89.0,92.7,18.7,1.7,2.6,82.7,75.7,22.6
37-2021.00,Pest Control Workers,16.12,12.69,12.24,10.17,8.75,14.09,13.52,12.42,-0.631,-0.681,0.229,0.513,0.546,-0.095,-0.302,0.206,29.9,27.0,59.4,66.9,72.4,50.2,42.4,64.4
37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",15.43,13.82,11.75,12.12,7.44,13.14,11.18,15.11,-0.806,-0.271,0.03,0.885,0.167,-0.371,-1.134,1.596,24.8,45.2,53.8,74.7,61.9,41.8,14.5,92.8
17-2171.00,Petroleum Engineers,19.97,19.95,11.49,1.94,4.93,12.74,15.96,13.02,0.348,1.952,-0.075,-1.058,-0.56,-0.487,0.565,0.516,64.8,95.2,50.6,18.9,35.0,37.6,72.7,75.3
51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",13.88,13.54,12.51,10.94,13.51,9.62,12.68,13.32,-1.2,-0.373,0.338,0.659,1.925,-1.394,-0.601,0.671,13.0,42.3,63.1,69.5,96.1,5.6,32.4,78.6
29-1051.00,Pharmacists,19.61,16.67,9.43,4.38,2.84,15.16,17.06,14.84,0.257,0.762,-0.909,-0.592,-1.166,0.216,0.956,1.457,60.3,79.1,21.8,38.5,8.2,58.7,81.5,91.9
31-9095.00,Pharmacy Aides,21.18,13.27,11.14,7.23,3.79,18.73,13.14,11.53,0.656,-0.471,-0.217,-0.049,-0.89,1.254,-0.437,-0.254,74.9,37.2,46.2,54.7,21.5,87.4,38.1,43.4
29-2052.00,Pharmacy Technicians,19.9,14.96,10.84,6.93,5.49,15.18,13.79,12.91,0.331,0.142,-0.338,-0.106,-0.398,0.222,-0.206,0.459,64.0,63.6,42.2,52.7,42.7,58.9,45.9,73.4
25-1126.00,"Philosophy and Religion Teachers, Postsecondary",25.75,13.33,7.43,1.0,2.1,15.95,25.27,9.17,1.818,-0.449,-1.719,-1.237,-1.38,0.446,3.873,-1.474,96.0,38.1,1.1,1.7,4.3,64.9,100.0,4.4
31-9097.00,Phlebotomists,18.03,12.14,11.21,7.95,5.28,17.78,14.98,12.62,-0.145,-0.88,-0.188,0.089,-0.459,0.978,0.217,0.309,44.9,18.8,47.0,57.8,40.4,79.9,59.7,69.0
27-4021.00,Photographers,17.07,12.0,16.01,7.41,6.37,15.43,13.35,12.36,-0.389,-0.931,1.756,-0.014,-0.143,0.295,-0.362,0.175,35.8,16.7,95.4,55.6,51.5,61.6,40.5,63.2
51-9151.00,Photographic Process Workers and Processing Machine Operators,15.9,13.1,13.71,10.0,7.62,13.24,12.91,13.51,-0.687,-0.532,0.824,0.48,0.219,-0.342,-0.519,0.769,28.4,33.8,77.5,66.4,63.6,43.3,35.8,82.0
17-2199.07,Photonics Engineers,18.68,21.25,14.35,5.1,3.63,9.26,15.27,12.46,0.02,2.423,1.083,-0.455,-0.937,-1.499,0.32,0.227,50.8,98.1,85.6,43.0,19.4,3.8,63.6,65.3
17-3029.08,Photonics Technicians,16.86,16.33,13.25,9.89,7.64,10.36,14.02,11.64,-0.442,0.639,0.638,0.459,0.225,-1.179,-0.124,-0.197,34.5,76.3,70.8,66.2,64.0,12.0,48.3,45.9
29-1229.04,Physical Medicine and Rehabilitation Physicians,17.97,14.76,9.09,4.36,3.48,18.62,17.63,14.09,-0.16,0.07,-1.047,-0.596,-0.98,1.222,1.158,1.069,43.5,60.4,15.8,38.4,16.7,86.2,86.0,87.2
31-2022.00,Physical Therapist Aides,18.09,12.24,9.64,9.57,6.52,18.3,15.81,9.84,-0.13,-0.844,-0.824,0.398,-0.1,1.129,0.512,-1.128,45.4,20.1,25.4,65.3,53.0,84.3,70.6,11.0
31-2021.00,Physical Therapist Assistants,18.88,11.84,9.88,8.1,5.41,18.05,16.73,11.11,0.071,-0.989,-0.727,0.118,-0.421,1.056,0.838,-0.471,52.5,14.5,29.2,58.7,42.1,82.0,79.0,33.8
29-1123.00,Physical Therapists,18.81,13.73,8.98,7.63,4.13,19.38,16.29,11.05,0.053,-0.304,-1.091,0.028,-0.792,1.443,0.682,-0.502,51.9,44.1,14.3,56.7,24.8,90.9,75.2,32.2
29-1071.00,Physician Assistants,17.8,14.7,8.91,4.63,3.57,17.92,17.49,14.99,-0.203,0.048,-1.12,-0.545,-0.954,1.019,1.109,1.534,42.1,59.5,13.1,40.0,18.1,81.0,84.8,92.5
29-1222.00,"Physicians, Pathologists",20.4,16.45,10.74,3.66,3.78,12.89,15.23,16.83,0.458,0.683,-0.379,-0.73,-0.893,-0.444,0.306,2.486,68.9,77.6,40.5,34.0,21.3,39.3,63.2,97.4
19-2012.00,Physicists,20.14,22.2,11.23,1.97,3.66,11.05,16.3,13.46,0.392,2.768,-0.18,-1.052,-0.928,-0.979,0.686,0.743,66.4,99.3,47.2,19.5,19.9,19.4,75.3,80.6
25-1054.00,"Physics Teachers, Postsecondary",23.27,19.79,8.35,2.16,2.96,13.93,18.13,11.4,1.188,1.894,-1.346,-1.016,-1.131,-0.141,1.336,-0.321,88.3,94.5,6.9,21.4,9.4,48.9,89.7,40.3
47-2072.00,Pile Driver Operators,11.66,12.46,16.35,17.45,12.73,9.32,10.41,9.61,-1.765,-0.764,1.893,1.902,1.699,-1.482,-1.407,-1.247,2.1,24.5,96.6,97.7,93.7,4.0,4.5,8.1
47-2151.00,Pipelayers,15.29,12.68,14.15,15.51,7.22,12.0,11.58,11.56,-0.842,-0.685,1.002,1.532,0.103,-0.703,-0.991,-0.239,23.9,26.7,83.1,91.4,60.0,30.4,18.6,43.8
47-2161.00,Plasterers and Stucco Masons,13.28,11.52,15.31,16.95,9.05,11.66,10.93,11.31,-1.353,-1.105,1.472,1.806,0.633,-0.801,-1.222,-0.368,8.2,10.1,92.1,96.8,75.4,26.4,10.5,38.3
51-4193.00,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",15.18,13.56,12.67,12.21,10.81,11.31,10.4,13.86,-0.87,-0.366,0.403,0.902,1.143,-0.903,-1.411,0.95,22.9,42.5,64.4,75.5,84.7,22.3,4.4,85.1
47-2152.00,"Plumbers, Pipefitters, and Steamfitters",12.13,15.13,15.82,12.98,9.79,11.51,11.36,11.28,-1.645,0.204,1.679,1.049,0.847,-0.845,-1.07,-0.383,2.8,65.4,94.6,79.1,79.5,24.5,16.2,37.7
29-1081.00,Podiatrists,19.95,14.85,10.38,5.28,3.04,16.32,16.53,13.65,0.343,0.102,-0.524,-0.421,-1.108,0.553,0.767,0.842,64.5,61.9,36.1,43.7,10.6,67.9,77.4,83.0
27-3043.05,"Poets, Lyricists and Creative Writers",28.9,12.09,11.83,3.69,5.38,11.66,16.81,9.65,2.619,-0.899,0.063,-0.724,-0.43,-0.801,0.867,-1.226,99.2,18.2,54.6,34.3,41.6,26.4,79.6,8.8
33-3021.02,Police Identification and Records Officers,20.21,14.96,11.99,6.83,5.53,13.49,13.53,13.46,0.409,0.142,0.128,-0.125,-0.387,-0.269,-0.299,0.743,67.0,63.6,56.8,51.9,43.1,45.0,42.6,80.6
33-3051.00,Police and Sheriff's Patrol Officers,16.62,12.25,10.35,9.55,8.77,16.59,14.99,10.87,-0.504,-0.841,-0.537,0.394,0.552,0.632,0.22,-0.595,33.3,20.4,35.2,65.2,72.8,70.4,60.1,28.5
25-1065.00,"Political Science Teachers, Postsecondary",27.22,14.12,7.46,0.94,1.7,17.81,20.12,10.62,2.192,-0.162,-1.707,-1.249,-1.496,0.987,2.043,-0.725,98.2,50.7,1.3,0.8,1.7,80.2,97.1,23.8
19-3094.00,Political Scientists,26.15,15.88,8.07,1.06,2.07,15.91,19.31,11.55,1.92,0.476,-1.46,-1.226,-1.389,0.434,1.755,-0.244,96.5,72.0,4.7,2.8,3.7,64.5,94.3,43.7
43-5051.00,Postal Service Clerks,20.43,13.94,10.76,9.43,7.44,14.97,11.34,11.68,0.465,-0.228,-0.37,0.371,0.167,0.161,-1.077,-0.177,69.0,47.9,40.8,64.3,61.9,57.0,16.0,46.8
43-5052.00,Postal Service Mail Carriers,16.87,11.26,11.42,12.65,8.99,16.56,10.25,12.01,-0.44,-1.2,-0.103,0.986,0.616,0.623,-1.464,-0.006,34.6,7.5,49.1,77.6,75.1,69.9,3.4,54.9
43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",16.71,11.64,12.85,14.68,8.47,10.71,12.57,12.37,-0.481,-1.062,0.476,1.373,0.465,-1.078,-0.64,0.18,33.8,12.2,67.3,87.8,70.4,15.4,30.9,63.5
11-9131.00,Postmasters and Mail Superintendents,20.33,14.81,8.85,2.67,6.65,18.89,16.41,11.39,0.44,0.088,-1.144,-0.919,-0.062,1.301,0.725,-0.327,68.0,61.0,12.0,25.4,54.1,88.9,76.2,39.9
51-9195.05,"Potters, Manufacturing",13.49,11.93,17.45,14.77,10.37,9.82,9.59,12.57,-1.299,-0.957,2.339,1.39,1.015,-1.336,-1.698,0.283,9.6,15.5,99.0,88.3,82.7,7.0,1.0,67.8
51-4052.00,"Pourers and Casters, Metal",13.69,11.57,14.23,15.14,10.54,9.49,11.97,13.37,-1.249,-1.087,1.035,1.461,1.064,-1.432,-0.853,0.697,11.6,11.1,84.5,90.0,83.4,4.9,22.9,79.4
51-8012.00,Power Distributors and Dispatchers,19.44,17.41,11.49,4.47,5.78,14.06,15.05,12.31,0.214,1.031,-0.075,-0.575,-0.314,-0.104,0.242,0.149,58.6,84.5,50.6,39.3,45.4,50.1,60.6,61.6
51-8013.00,Power Plant Operators,15.95,14.35,12.35,10.98,11.3,9.91,12.52,12.65,-0.674,-0.079,0.273,0.667,1.285,-1.31,-0.657,0.325,28.9,54.1,61.4,69.7,86.5,8.3,30.5,69.4
19-4012.01,Precision Agriculture Technicians,17.74,16.62,11.65,7.1,4.46,13.03,13.72,15.69,-0.219,0.744,-0.01,-0.073,-0.696,-0.403,-0.231,1.896,41.6,78.6,52.3,53.8,29.1,40.8,44.9,94.7
51-5111.00,Prepress Technicians and Workers,17.0,14.45,16.13,7.42,6.31,12.32,12.89,13.48,-0.407,-0.043,1.804,-0.012,-0.161,-0.609,-0.526,0.754,35.3,55.9,95.7,55.7,50.9,34.0,35.2,81.3
25-2011.00,"Preschool Teachers, Except Special Education",19.62,11.81,10.37,5.69,6.87,17.78,18.39,9.47,0.259,-1.0,-0.528,-0.342,0.002,0.978,1.428,-1.319,60.6,13.9,35.6,46.0,56.6,79.9,91.8,7.2
51-6021.00,"Pressers, Textile, Garment, and Related Materials",11.28,10.2,14.83,20.54,9.76,11.17,9.89,12.34,-1.861,-1.584,1.278,2.491,0.839,-0.944,-1.592,0.165,1.0,1.7,89.1,99.9,79.2,20.9,1.9,62.9
29-1229.05,Preventive Medicine Physicians,20.35,16.87,9.18,1.15,1.89,17.15,18.48,14.94,0.445,0.835,-1.01,-1.209,-1.441,0.795,1.46,1.509,68.6,81.1,17.7,4.1,2.7,75.6,92.3,92.1
51-5113.00,Print Binding and Finishing Workers,15.14,12.28,13.36,13.2,10.5,11.33,12.1,12.09,-0.88,-0.83,0.682,1.091,1.053,-0.897,-0.807,0.035,22.8,20.9,72.3,80.2,83.3,22.7,25.5,57.2
51-5112.00,Printing Press Operators,14.93,12.27,13.75,13.49,8.96,10.36,12.75,13.48,-0.933,-0.833,0.84,1.146,0.607,-1.179,-0.576,0.754,21.4,20.6,78.1,81.2,74.4,12.0,33.3,81.3
33-9021.00,Private Detectives and Investigators,22.0,15.3,10.67,4.12,4.88,15.45,15.96,11.62,0.865,0.266,-0.407,-0.642,-0.575,0.301,0.565,-0.208,81.3,66.9,39.4,37.2,34.5,61.7,72.7,45.2
21-1092.00,Probation Officers and Correctional Treatment Specialists,21.84,14.32,7.5,4.66,4.44,19.45,19.25,8.54,0.824,-0.09,-1.691,-0.539,-0.702,1.463,1.734,-1.8,80.2,53.9,1.5,40.2,28.3,91.3,94.1,1.1
43-3061.00,Procurement Clerks,25.26,16.82,8.31,1.27,3.94,16.67,17.1,10.63,1.694,0.817,-1.363,-1.186,-0.847,0.655,0.97,-0.719,94.9,80.3,6.7,6.7,23.3,71.3,81.9,24.0
27-2012.00,Producers and Directors,21.55,14.28,12.07,3.82,7.99,13.92,15.23,11.14,0.75,-0.104,0.16,-0.699,0.326,-0.144,0.306,-0.456,78.0,53.2,57.8,35.9,66.7,48.8,63.2,34.2
43-5061.00,"Production, Planning, and Expediting Clerks",21.78,16.24,10.45,3.23,5.74,14.63,13.9,14.03,0.809,0.606,-0.496,-0.812,-0.326,0.062,-0.167,1.038,79.6,75.5,37.4,30.8,44.6,54.8,47.1,86.5
43-9081.00,Proofreaders and Copy Markers,35.72,13.45,11.03,1.84,2.08,9.9,13.84,12.13,4.354,-0.405,-0.261,-1.077,-1.386,-1.313,-0.188,0.056,100.0,40.0,44.6,17.8,4.0,8.2,46.4,57.6
11-9141.00,"Property, Real Estate, and Community Association Managers",24.34,16.38,8.8,1.09,2.17,21.74,15.75,9.72,1.46,0.657,-1.164,-1.22,-1.36,2.129,0.49,-1.19,92.3,76.5,11.0,3.5,4.8,98.9,69.9,9.7
29-1024.00,Prosthodontists,17.84,14.33,12.28,8.78,4.66,14.88,14.73,12.49,-0.193,-0.086,0.245,0.247,-0.639,0.135,0.128,0.242,42.4,54.0,60.3,61.9,31.5,56.7,57.2,65.8
31-1133.00,Psychiatric Aides,16.41,11.63,9.5,8.46,9.3,17.05,17.98,9.67,-0.557,-1.065,-0.881,0.186,0.705,0.766,1.283,-1.216,31.8,11.9,22.9,60.4,76.6,74.7,88.4,9.3
29-2053.00,Psychiatric Technicians,18.95,12.7,8.4,6.49,4.73,19.91,19.62,9.18,0.089,-0.677,-1.326,-0.19,-0.618,1.597,1.865,-1.469,53.4,27.1,7.7,50.6,32.7,93.4,95.6,4.5
29-1223.00,Psychiatrists,19.84,14.61,7.63,1.96,3.33,19.78,20.11,12.74,0.315,0.015,-1.638,-1.054,-1.024,1.559,2.039,0.371,63.4,58.1,2.6,19.1,14.1,92.5,97.0,71.0
25-1066.00,"Psychology Teachers, Postsecondary",23.82,14.48,6.74,0.97,1.54,18.84,23.41,10.2,1.327,-0.032,-1.998,-1.243,-1.542,1.286,3.212,-0.942,90.0,56.4,0.2,1.1,1.1,88.8,99.9,16.6
27-3031.00,Public Relations Specialists,26.74,15.04,9.24,1.68,3.7,19.13,15.64,8.83,2.07,0.171,-0.986,-1.108,-0.917,1.37,0.451,-1.65,97.8,64.5,18.5,15.5,20.4,89.5,68.6,2.3
43-5031.00,Public Safety Telecommunicators,20.73,12.83,8.77,3.8,9.11,18.76,14.4,11.59,0.542,-0.63,-1.176,-0.703,0.65,1.263,0.011,-0.223,71.5,28.7,10.5,35.5,75.6,87.8,53.9,44.6
53-7072.00,"Pump Operators, Except Wellhead Pumpers",14.6,13.06,13.09,12.18,12.35,10.14,11.96,12.62,-1.017,-0.547,0.573,0.896,1.589,-1.243,-0.856,0.309,18.8,33.0,69.9,75.3,92.1,10.1,22.7,69.0
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",23.06,17.4,8.9,1.04,2.16,18.92,17.85,10.67,1.134,1.027,-1.124,-1.23,-1.363,1.309,1.236,-0.699,87.2,84.3,12.9,2.1,4.7,89.3,87.5,24.8
11-3061.00,Purchasing Managers,21.4,16.85,9.1,1.39,4.81,19.86,16.43,10.15,0.712,0.828,-1.043,-1.163,-0.595,1.583,0.732,-0.968,76.8,80.8,16.2,8.2,33.6,93.1,76.4,15.4
19-4099.01,Quality Control Analysts,19.12,16.78,12.05,7.03,5.26,10.78,14.21,14.77,0.132,0.802,0.152,-0.087,-0.465,-1.057,-0.057,1.421,55.0,80.0,57.7,53.2,40.0,16.3,50.8,91.4
11-3051.01,Quality Control Systems Managers,18.74,17.02,11.0,3.67,5.26,15.31,15.57,13.44,0.036,0.889,-0.273,-0.728,-0.465,0.26,0.426,0.733,51.1,81.9,44.2,34.1,40.0,60.1,67.7,80.2
29-1124.00,Radiation Therapists,17.73,14.68,10.02,9.2,5.71,16.44,14.28,11.95,-0.221,0.041,-0.67,0.327,-0.334,0.588,-0.032,-0.037,41.3,59.3,31.8,63.4,44.3,68.7,51.9,54.0
17-2072.01,Radio Frequency Identification Device Specialists,19.49,19.14,12.75,4.48,4.91,14.41,14.07,10.75,0.226,1.658,0.435,-0.573,-0.566,-0.002,-0.107,-0.657,59.2,92.5,65.3,39.5,34.8,53.1,48.8,26.2
49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers",15.67,14.84,13.03,12.27,7.64,13.42,11.9,11.22,-0.745,0.099,0.549,0.913,0.225,-0.29,-0.878,-0.414,26.7,61.6,69.4,76.0,64.0,44.2,21.6,36.0
29-2034.00,Radiologic Technologists and Technicians,17.94,13.25,11.17,8.66,7.43,15.41,13.8,12.34,-0.168,-0.478,-0.204,0.224,0.164,0.289,-0.203,0.165,43.0,36.6,46.5,61.5,61.3,61.4,46.1,62.9
29-1224.00,Radiologists,19.62,15.65,11.07,4.62,4.71,13.56,15.47,15.29,0.259,0.392,-0.245,-0.547,-0.624,-0.249,0.391,1.689,60.6,70.6,45.2,39.9,32.3,45.3,66.4,93.5
49-3043.00,Rail Car Repairers,11.45,11.83,15.54,16.93,12.53,8.87,10.86,12.0,-1.818,-0.993,1.565,1.803,1.641,-1.613,-1.247,-0.011,1.6,14.1,93.5,96.6,93.0,2.6,9.7,54.8
53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers",14.84,11.22,13.93,13.94,12.28,10.58,11.93,11.28,-0.956,-1.214,0.913,1.232,1.568,-1.115,-0.867,-0.383,20.7,7.0,80.3,84.8,91.7,14.3,22.0,37.7
47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,11.17,11.84,14.99,16.75,12.69,9.99,10.79,11.79,-1.889,-0.989,1.343,1.768,1.687,-1.287,-1.272,-0.12,0.3,14.5,90.0,96.2,93.5,8.8,8.8,50.2
53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",14.58,10.64,13.39,13.95,12.68,10.98,12.13,11.64,-1.022,-1.424,0.695,1.234,1.684,-0.999,-0.796,-0.197,18.7,3.9,72.7,84.9,93.4,18.2,25.8,45.9
53-4031.00,Railroad Conductors and Yardmasters,15.8,13.0,11.83,9.8,12.17,12.87,14.14,10.38,-0.712,-0.569,0.063,0.442,1.537,-0.45,-0.082,-0.849,27.7,32.0,54.6,66.0,91.3,38.9,49.9,19.8
19-1031.02,Range Managers,19.39,15.82,11.16,5.11,5.12,13.74,14.72,14.95,0.201,0.454,-0.208,-0.453,-0.505,-0.197,0.124,1.514,58.1,71.7,46.4,43.1,37.7,47.1,57.0,92.2
41-9021.00,Real Estate Brokers,24.39,15.79,8.25,1.43,1.83,20.39,18.31,9.6,1.472,0.443,-1.387,-1.155,-1.458,1.737,1.4,-1.252,92.4,71.5,6.4,8.9,2.5,95.7,91.3,7.8
41-9022.00,Real Estate Sales Agents,22.09,14.87,10.13,2.57,3.99,20.84,14.66,10.85,0.888,0.11,-0.626,-0.938,-0.833,1.868,0.103,-0.606,82.0,62.1,32.6,24.5,23.6,97.4,56.4,28.0
43-4171.00,Receptionists and Information Clerks,24.69,13.49,9.94,2.96,7.66,18.18,12.67,10.41,1.549,-0.391,-0.703,-0.863,0.23,1.094,-0.604,-0.833,93.3,41.3,30.5,28.5,64.2,83.2,32.1,20.2
