soc,title,linguistic,logical,spatial,kinesthetic,musical,interpersonal,intrapersonal,naturalistic,linguistic_z,logical_z,spatial_z,kinesthetic_z,musical_z,interpersonal_z,intrapersonal_z,naturalistic_z,linguistic_pct,logical_pct,spatial_pct,kinesthetic_pct,musical_pct,interpersonal_pct,intrapersonal_pct,naturalistic_pct
47-2132.00,"Insulation Workers, Mechanical",13.78,12.83,13.44,12.63,8.17,16.01,12.17,10.97,-1.226,-0.63,0.715,0.982,0.378,0.463,-0.782,-0.544,12.3,28.7,73.7,77.5,67.4,65.5,26.6,30.9
13-1032.00,"Insurance Appraisers, Auto Damage",23.05,15.37,10.17,3.82,6.23,17.76,12.71,10.88,1.132,0.291,-0.609,-0.699,-0.184,0.972,-0.59,-0.59,87.0,67.7,33.4,35.9,50.2,79.5,32.8,28.7
43-9041.00,Insurance Claims and Policy Processing Clerks,22.56,15.4,9.41,2.54,6.28,18.07,14.26,11.48,1.007,0.302,-0.917,-0.944,-0.169,1.062,-0.039,-0.28,84.8,68.2,21.6,24.2,50.6,82.3,51.5,41.8
41-3021.00,Insurance Sales Agents,25.06,16.33,8.73,1.45,2.66,19.58,15.63,10.57,1.643,0.639,-1.193,-1.152,-1.218,1.501,0.448,-0.75,94.3,76.3,10.3,9.5,6.8,92.1,68.3,22.6
13-2053.00,Insurance Underwriters,24.01,17.91,9.63,1.68,2.3,15.88,16.76,11.83,1.376,1.212,-0.828,-1.108,-1.322,0.426,0.849,-0.099,90.8,87.0,24.9,15.5,5.1,64.1,79.3,51.0
33-3021.06,Intelligence Analysts,23.43,16.41,11.2,1.38,4.46,13.91,15.82,13.38,1.228,0.668,-0.192,-1.165,-0.696,-0.147,0.515,0.702,88.9,77.1,46.9,7.8,29.1,48.5,70.9,79.5
27-1025.00,Interior Designers,19.57,14.0,18.43,1.97,5.23,16.46,13.16,11.18,0.247,-0.206,2.736,-1.052,-0.473,0.594,-0.43,-0.435,59.8,49.1,99.4,19.5,39.6,68.8,38.4,35.0
27-3091.00,Interpreters and Translators,25.94,11.47,9.03,2.24,11.13,15.1,15.21,9.88,1.867,-1.123,-1.071,-1.001,1.235,0.199,0.298,-1.107,96.3,9.6,14.8,22.4,86.2,58.2,62.6,11.3
43-4111.00,"Interviewers, Except Eligibility and Loan",24.17,14.91,7.93,1.9,5.9,20.0,15.2,9.99,1.416,0.124,-1.517,-1.066,-0.279,1.623,0.295,-1.05,91.6,62.8,3.9,18.3,46.8,93.6,62.4,12.6
11-3031.03,Investment Fund Managers,22.06,19.79,10.39,1.49,3.54,14.4,16.59,11.74,0.88,1.894,-0.52,-1.144,-0.963,-0.005,0.789,-0.146,81.8,94.5,36.4,10.5,17.6,52.9,78.2,48.4
37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",16.6,11.84,12.75,15.13,8.16,12.03,12.08,11.4,-0.509,-0.989,0.435,1.459,0.375,-0.694,-0.814,-0.321,33.0,14.5,65.3,89.9,67.3,31.1,25.2,40.3
